"事务别名","名称","平均响应时间(ms)","总耗时(ms)","耗时百分比(%)","请求数","吞吐率(tps)","错误率(%)","错误数","慢次数","应用"
"URI/grcv5/wp/lasContractSign/lasContractSignList.htm","URI/grcv5/wp/lasContractSign/lasContractSignList.htm","10.0","60","2.479992E-4","6","3.4722223E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/replied-inform (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/replied-inform (POST)","10.0","10","4.1333205E-5","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.getSignInfoByContractId.dwr","URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.getSignInfoByContractId.dwr","10.0","40","1.6533282E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/contractSeal/contractSealList.htm","URI/grcv5/wp/contractSeal/contractSealList.htm","10.0","30","1.239996E-4","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.getValidAttachments}","SpringController/${url.attachment}/${url.attachment.getValidAttachments}","9.866249","25228","0.104275405","2557","0.014797454","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.hasChangeMarkByContractId.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeService.hasChangeMarkByContractId.dwr","9.676043","19265","0.079628415","1991","0.01152199","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/todolistNew/hdProductWorkflowList.jsp","URI/grcv5/user/todolistNew/hdProductWorkflowList.jsp","9.5","38","1.5706617E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.headquartersEnabledHierarchy.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.headquartersEnabledHierarchy.dwr","9.5","38","1.5706617E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateIsLegalLawyer.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateIsLegalLawyer.dwr","9.430421","2914","0.012044496","309","0.0017881944","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/hdCommunicationService.showCancelButton.dwr","URI/grcv5/dwr/call/plaincall/hdCommunicationService.showCancelButton.dwr","9.304545","4094","0.016921815","440","0.0025462962","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/contractSeal/contractSealList.htm","URI/grcv5/wp/contractSeal/contractSealList.htm","9.25","37","1.5293286E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dictDesignService.searchDictByParam.dwr","URI/grcv5/dwr/call/plaincall/dictDesignService.searchDictByParam.dwr","9.0","9","3.7199883E-5","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrNonLawsuitService.getZdzbData.dwr","URI/grcv5/dwr/call/plaincall/dwrNonLawsuitService.getZdzbData.dwr","9.0","9","3.7199883E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrProductWorkflowListService.findInvalidList.dwr","URI/grcv5/dwr/call/plaincall/dwrProductWorkflowListService.findInvalidList.dwr","9.0","27","1.1159965E-4","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrNonLawsuitService.getCurrentYearQuantity.dwr","URI/grcv5/dwr/call/plaincall/dwrNonLawsuitService.getCurrentYearQuantity.dwr","9.0","9","3.7199883E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrNonLawsuitService.getFsajjD.dwr","URI/grcv5/dwr/call/plaincall/dwrNonLawsuitService.getFsajjD.dwr","9.0","9","3.7199883E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/secadmin/home.jsp","URI/grcv5/secadmin/home.jsp","9.0","18","7.4399766E-5","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.getMatchAffiliatePartyByRpName.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.getMatchAffiliatePartyByRpName.dwr","9.0","171","7.067978E-4","19","1.09953704E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrNonLawsuitService.getCurrentYearSubjectAmount.dwr","URI/grcv5/dwr/call/plaincall/dwrNonLawsuitService.getCurrentYearSubjectAmount.dwr","9.0","9","3.7199883E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.hasChangeMarkByContractId.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeService.hasChangeMarkByContractId.dwr","8.940075","7161","0.029598707","801","0.0046354164","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/selector/G_1_templateSelector.htm","URI/grcv5/wp/selector/G_1_templateSelector.htm","8.928572","250","0.0010333301","28","1.6203703E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrProductCommonUtilsService.getStepIsPreviewFlag.dwr","URI/grcv5/dwr/call/plaincall/dwrProductCommonUtilsService.getStepIsPreviewFlag.dwr","8.905326","1505","0.006220647","169","9.780093E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.findKeeper.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.findKeeper.dwr","8.866667","266","0.0010994632","30","1.7361112E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.getValidAttachments}","SpringController/${url.attachment}/${url.attachment.getValidAttachments}","8.579323","57756","0.23872405","6732","0.038958333","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/product/operations/intervene.jsp","URI/grcv5/user/product/operations/intervene.jsp","8.294118","282","0.0011655963","34","1.9675925E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.mobileapi.v1}/common-mobile/getCommonOpinion/{account}","SpringController/${url.rest.prefix.mobileapi.v1}/common-mobile/getCommonOpinion/{account}","8.27027","3060","0.01264796","370","0.0021412037","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/product/honorHalls/honorHallsSecondList.jsp","URI/grcv5/user/product/honorHalls/honorHallsSecondList.jsp","8.25","33","1.3639957E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.mobileapi.v1}/common-mobile/getCommonOpinion/{account}","SpringController/${url.rest.prefix.mobileapi.v1}/common-mobile/getCommonOpinion/{account}","8.244573","5697","0.023547526","691","0.0039988426","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/resources/plugins/bootstrap/css/bootstrap.min.css.map","URI/grcv5/resources/plugins/bootstrap/css/bootstrap.min.css.map","8.0","8","3.3066564E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/selector/G_1_templateSelector.htm","URI/grcv5/wp/selector/G_1_templateSelector.htm","8.0","136","5.621316E-4","17","9.837963E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrPersonnelService.partTimeLaw.dwr","URI/grcv5/dwr/call/plaincall/dwrPersonnelService.partTimeLaw.dwr","8.0","32","1.3226626E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrLegDemandEditService.findConfigInfoByUnitCode.dwr","URI/grcv5/dwr/call/plaincall/dwrLegDemandEditService.findConfigInfoByUnitCode.dwr","8.0","24","9.919969E-5","3","1.7361112E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/caslogout.jsp","URI/grcv5/user/caslogout.jsp","8.0","16","6.613313E-5","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrPersonnelService.companyLawyer.dwr","URI/grcv5/dwr/call/plaincall/dwrPersonnelService.companyLawyer.dwr","8.0","32","1.3226626E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrAttentionService.findAttentionList.dwr","URI/grcv5/dwr/call/plaincall/dwrAttentionService.findAttentionList.dwr","7.966489","10460","0.04323453","1313","0.0075983796","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.refreshIsMoreYear.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.refreshIsMoreYear.dwr","7.9557524","899","0.003715855","113","6.539352E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.refreshIsMoreYear.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.refreshIsMoreYear.dwr","7.9","2449","0.010122501","310","0.0017939815","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrAppFormService.getContractInfoText.dwr","URI/grcv5/dwr/call/plaincall/dwrAppFormService.getContractInfoText.dwr","7.88046","3428","0.014169022","435","0.0025173612","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/selector/G_1_copyCtSelector.htm","URI/grcv5/wp/selector/G_1_copyCtSelector.htm","7.8","39","1.611995E-4","5","2.8935185E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrLetterInfoService.returnLetterIdByContractId.dwr","URI/grcv5/dwr/call/plaincall/dwrLetterInfoService.returnLetterIdByContractId.dwr","7.75","1147","0.0047409185","148","8.564815E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.findKeeper.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.findKeeper.dwr","7.64","573","0.0023683927","75","4.3402778E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/hdCommunicationService.showCancelButton.dwr","URI/grcv5/dwr/call/plaincall/hdCommunicationService.showCancelButton.dwr","7.6298075","7935","0.0327979","1040","0.0060185185","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrLetterInfoService.returnLetterIdByContractId.dwr","URI/grcv5/dwr/call/plaincall/dwrLetterInfoService.returnLetterIdByContractId.dwr","7.5536585","3097","0.012800894","410","0.0023726851","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/caslogout.jsp","URI/grcv5/user/caslogout.jsp","7.5","15","6.19998E-5","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/selector/G_1_copyCtSelector.htm","URI/grcv5/wp/selector/G_1_copyCtSelector.htm","7.5","45","1.8599942E-4","6","3.4722223E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/admin/flowNew/designer.jsp","URI/grcv5/admin/flowNew/designer.jsp","7.5","15","6.19998E-5","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/todolistNew/hdProductWorkflowList.jsp","URI/grcv5/user/todolistNew/hdProductWorkflowList.jsp","7.5","15","6.19998E-5","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/selector/contractSelector.htm","URI/grcv5/wp/selector/contractSelector.htm","7.5","15","6.19998E-5","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrAttentionService.findAttentionList.dwr","URI/grcv5/dwr/call/plaincall/dwrAttentionService.findAttentionList.dwr","7.4100065","23549","0.09733556","3178","0.018391203","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppDockingService.findDockList.dwr","URI/grcv5/dwr/call/plaincall/dwrOppDockingService.findDockList.dwr","7.3088236","497","0.0020542603","68","3.935185E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.getOpposite.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeService.getOpposite.dwr","7.2628207","3399","0.014049156","468","0.0027083333","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrPersonnelService.fullTimeLaw.dwr","URI/grcv5/dwr/call/plaincall/dwrPersonnelService.fullTimeLaw.dwr","7.25","29","1.19866294E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.getCodeClassChildren.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.getCodeClassChildren.dwr","7.1875","230","9.506637E-4","32","1.8518518E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrProductCommonUtilsService.getSysParamByCode.dwr","URI/grcv5/dwr/call/plaincall/dwrProductCommonUtilsService.getSysParamByCode.dwr","7.1855035","5849","0.024175791","814","0.004710648","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrCategorySelectorService.getChildren.dwr","URI/grcv5/dwr/call/plaincall/dwrCategorySelectorService.getChildren.dwr","7.152672","937","0.0038729212","131","7.581019E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/todolistNew/unifyToDo.jsp","URI/grcv5/user/todolistNew/unifyToDo.jsp","7.1256685","2665","0.011015299","374","0.0021643518","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/todolistNew/unifyToDo.jsp","URI/grcv5/user/todolistNew/unifyToDo.jsp","7.0745797","6735","0.027837913","952","0.005509259","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/lasContractArchiveM/G_1_connectBiddingNoSelector.htm","URI/grcv5/wp/lasContractArchiveM/G_1_connectBiddingNoSelector.htm","7.0","28","1.15732975E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/product/legalKnowledge/legalKnowledgeList.jsp","URI/grcv5/user/product/legalKnowledge/legalKnowledgeList.jsp","7.0","49","2.025327E-4","7","4.0509258E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/userExtendService.getGroupUserAndAppUsers.dwr","URI/grcv5/dwr/call/plaincall/userExtendService.getGroupUserAndAppUsers.dwr","7.0","7","2.8933244E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/userExtendService.getGroupUserAndAppUsers.dwr","URI/grcv5/dwr/call/plaincall/userExtendService.getGroupUserAndAppUsers.dwr","7.0","7","2.8933244E-5","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrPersonnelService.externalLawyer.dwr","URI/grcv5/dwr/call/plaincall/dwrPersonnelService.externalLawyer.dwr","7.0","28","1.15732975E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/admin/flowNew/designer.jsp","URI/grcv5/admin/flowNew/designer.jsp","7.0","7","2.8933244E-5","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/*/*/1686732.pdf","URI/grcv5/*/*/1686732.pdf","7.0","7","2.8933244E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/selector/G_1_iamCtSelector.htm","URI/grcv5/wp/selector/G_1_iamCtSelector.htm","7.0","14","5.7866488E-5","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.getSignInfoByContractId.dwr","URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.getSignInfoByContractId.dwr","7.0","21","8.679973E-5","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/attention (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/attention (POST)","7.0","7","2.8933244E-5","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.unlockFlow.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.unlockFlow.dwr","7.0","7","2.8933244E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.mobile.login}","SpringController/${url.rest.mobile.login}","6.909091","76","3.1413234E-4","11","6.3657404E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/*","URI/grcv5/dwr/call/plaincall/*","6.883773","15399","0.063649","2237","0.012945602","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrProductCommonUtilsService.getSysParamByCode.dwr","URI/grcv5/dwr/call/plaincall/dwrProductCommonUtilsService.getSysParamByCode.dwr","6.826002","13966","0.05772595","2046","0.011840277","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/*/1686527.pdf","URI/grcv5/*/1686527.pdf","6.8","34","1.405329E-4","5","2.8935185E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.getValidAttachments}/attachments (POST)","SpringController/${url.attachment}/${url.attachment.getValidAttachments}/attachments (POST)","6.79","1358","0.005613049","200","0.0011574074","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/login/impersonate/switch","URI/grcv5/login/impersonate/switch","6.7","67","2.7693246E-4","10","5.787037E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/userService.getUserById.dwr","URI/grcv5/dwr/call/plaincall/userService.getUserById.dwr","6.6666665","20","8.266641E-5","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.lockFlow.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.lockFlow.dwr","6.6296296","358","0.0014797287","54","3.125E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppDockingService.findDockList.dwr","URI/grcv5/dwr/call/plaincall/dwrOppDockingService.findDockList.dwr","6.6190476","139","5.7453156E-4","21","1.2152778E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateIsElectonInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateIsElectonInfo.dwr","6.5324674","503","0.00207906","77","4.4560185E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/commonSecondPage.jsp","URI/grcv5/user/commonSecondPage.jsp","6.5238094","2329","0.009626503","357","0.0020659722","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrCodeSettingService.convertValueByExpression.dwr","URI/grcv5/dwr/call/plaincall/dwrCodeSettingService.convertValueByExpression.dwr","6.5","13","5.3733165E-5","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/api/flow-mobile/v1/user-tasks/undefined","URI/grcv5/api/flow-mobile/v1/user-tasks/undefined","6.5","26","1.0746633E-4","4","2.3148148E-5","100.0","4","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateIsElectonInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateIsElectonInfo.dwr","6.438914","1423","0.005881715","221","0.0012789352","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrRemindersRecordService.updateReminderTypeById.dwr","URI/grcv5/dwr/call/plaincall/dwrRemindersRecordService.updateReminderTypeById.dwr","6.428571","45","1.8599942E-4","7","4.0509258E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.lockFlow.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.lockFlow.dwr","6.408867","1301","0.00537745","203","0.0011747685","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrProductCommonUtilsService.getStepIsPreviewFlag.dwr","URI/grcv5/dwr/call/plaincall/dwrProductCommonUtilsService.getStepIsPreviewFlag.dwr","6.3715596","2778","0.0114823645","436","0.0025231482","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.getValidAttachments}/attachments (POST)","SpringController/${url.attachment}/${url.attachment.getValidAttachments}/attachments (POST)","6.3376","3961","0.016372083","625","0.003616898","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/userService.getUser.dwr","URI/grcv5/dwr/call/plaincall/userService.getUser.dwr","6.3157897","120","4.959984E-4","19","1.09953704E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrRemindersRecordService.updateReminderTypeById.dwr","URI/grcv5/dwr/call/plaincall/dwrRemindersRecordService.updateReminderTypeById.dwr","6.25","25","1.0333301E-4","4","2.3148148E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/api/flow-mobile/v1/user-tasks/undefined","URI/grcv5/api/flow-mobile/v1/user-tasks/undefined","6.25","25","1.0333301E-4","4","2.3148148E-5","100.0","4","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrHierarchySwitchService.resourceTypeEnabled.dwr","URI/grcv5/dwr/call/plaincall/dwrHierarchySwitchService.resourceTypeEnabled.dwr","6.2222223","56","2.3146595E-4","9","5.2083335E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.saveContractProjectRel.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.saveContractProjectRel.dwr","6.2163744","1063","0.0043937196","171","9.895833E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/commonSecondPage.jsp","URI/grcv5/user/commonSecondPage.jsp","6.2040815","608","0.0025130587","98","5.6712964E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.getMatchAffiliatePartyByRpName.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.getMatchAffiliatePartyByRpName.dwr","6.105263","348","0.0014383955","57","3.298611E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrCategorySelectorService.searchCategory.dwr","URI/grcv5/dwr/call/plaincall/dwrCategorySelectorService.searchCategory.dwr","6.0833335","73","3.017324E-4","12","6.9444446E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/userService.getUser.dwr","URI/grcv5/dwr/call/plaincall/userService.getUser.dwr","6.0","6","2.4799923E-5","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.deleteChangeMark.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeService.deleteChangeMark.dwr","6.0","12","4.9599847E-5","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/resources/product/oppsiteAccessTemplate.html","URI/grcv5/resources/product/oppsiteAccessTemplate.html","6.0","6","2.4799923E-5","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/*/*/1683544.pdf","URI/grcv5/*/*/1683544.pdf","6.0","6","2.4799923E-5","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/groupService.getTenantUserTreeNodes.dwr","URI/grcv5/dwr/call/plaincall/groupService.getTenantUserTreeNodes.dwr","6.0","30","1.239996E-4","5","2.8935185E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.bpm.user.exloginInfo}","SpringController/${url.bpm.user.exloginInfo}","6.0","6","2.4799923E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/*/*/1686486.pdf","URI/grcv5/*/*/1686486.pdf","6.0","18","7.4399766E-5","3","1.7361112E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/secadmin/roleNew/manager.jsp","URI/grcv5/secadmin/roleNew/manager.jsp","6.0","6","2.4799923E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrMajorContractService.getListByCreateUnitId.dwr","URI/grcv5/dwr/call/plaincall/dwrMajorContractService.getListByCreateUnitId.dwr","6.0","12","4.9599847E-5","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrProductCommonUtilsService.findFlowSean.dwr","URI/grcv5/dwr/call/plaincall/dwrProductCommonUtilsService.findFlowSean.dwr","6.0","66","2.7279914E-4","11","6.3657404E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/resources/product/operations.html","URI/grcv5/resources/product/operations.html","6.0","6","2.4799923E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/resources/PDF.js/web/cmaps/Adobe-Japan1-UCS2.bcmap","URI/grcv5/resources/PDF.js/web/cmaps/Adobe-Japan1-UCS2.bcmap","6.0","6","2.4799923E-5","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractSearchService.getExportColumnData.dwr","URI/grcv5/dwr/call/plaincall/dwrContractSearchService.getExportColumnData.dwr","6.0","6","2.4799923E-5","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractUpdateService.findById.dwr","URI/grcv5/dwr/call/plaincall/dwrContractUpdateService.findById.dwr","6.0","18","7.4399766E-5","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/bpm/view.htm","URI/grcv5/bpm/view.htm","6.0","6","2.4799923E-5","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
